               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,             0.12073,            0.025341,                   0,             0.62695,             0.36309,             0.39286,             0.13495,             0.11499,            0.054921,                   0,             0.00298,             0.00298,             0.00298
                 119,             0.11985,            0.024371,                   0,             0.63336,             0.36222,             0.39462,             0.13532,             0.11499,             0.05491,                   0,             0.00292,             0.00292,             0.00292
                 120,             0.12044,            0.025435,                   0,             0.63665,              0.3623,             0.39632,              0.1356,             0.11495,            0.054863,                   0,             0.00286,             0.00286,             0.00286
                 121,             0.11982,            0.025484,                   0,             0.63766,             0.36488,             0.39772,             0.13556,             0.11494,            0.054869,                   0,              0.0028,              0.0028,              0.0028
                 122,             0.12004,            0.024887,                   0,             0.63153,             0.36488,             0.39589,             0.13543,             0.11497,            0.054822,                   0,             0.00274,             0.00274,             0.00274
                 123,             0.12053,            0.025498,                   0,             0.63304,             0.36237,             0.39581,             0.13537,             0.11495,            0.054843,                   0,             0.00268,             0.00268,             0.00268
                 124,             0.11973,            0.025541,                   0,             0.62993,             0.36409,             0.39679,             0.13614,             0.11493,            0.054859,                   0,             0.00262,             0.00262,             0.00262
                 125,             0.11919,            0.025044,                   0,             0.62351,             0.36438,             0.39627,             0.13611,             0.11494,            0.054849,                   0,             0.00256,             0.00256,             0.00256
                 126,             0.11972,            0.024659,                   0,             0.62426,             0.36373,             0.39519,             0.13595,             0.11494,            0.054848,                   0,              0.0025,              0.0025,              0.0025
                 127,             0.11981,            0.024643,                   0,             0.62286,             0.36381,             0.39519,             0.13631,             0.11493,            0.054858,                   0,             0.00244,             0.00244,             0.00244
                 128,             0.11953,            0.025409,                   0,             0.62826,             0.36223,             0.39471,             0.13653,             0.11491,             0.05486,                   0,             0.00238,             0.00238,             0.00238
                 129,              0.1196,            0.025609,                   0,             0.63115,             0.36295,             0.39646,             0.13687,             0.11488,            0.054884,                   0,             0.00232,             0.00232,             0.00232
                 130,             0.11886,            0.024553,                   0,             0.62987,             0.36352,             0.39637,             0.13702,             0.11487,            0.054914,                   0,             0.00226,             0.00226,             0.00226
                 131,             0.11946,            0.024623,                   0,             0.62857,             0.36453,             0.39766,             0.13739,             0.11485,            0.054937,                   0,              0.0022,              0.0022,              0.0022
                 132,             0.11984,            0.025234,                   0,              0.6302,             0.36452,             0.39814,             0.13775,             0.11483,            0.054956,                   0,             0.00214,             0.00214,             0.00214
                 133,             0.11983,            0.025433,                   0,             0.62901,             0.36631,             0.39875,             0.13755,             0.11481,            0.054949,                   0,             0.00208,             0.00208,             0.00208
                 134,             0.11944,            0.025214,                   0,             0.62943,             0.36602,             0.39862,             0.13779,              0.1148,            0.054974,                   0,             0.00202,             0.00202,             0.00202
                 135,             0.11892,            0.025298,                   0,             0.63018,             0.36681,             0.39942,             0.13821,             0.11478,            0.054991,                   0,             0.00196,             0.00196,             0.00196
                 136,             0.11944,            0.025289,                   0,             0.62847,             0.36717,             0.39875,             0.13826,             0.11474,            0.055016,                   0,              0.0019,              0.0019,              0.0019
                 137,              0.1191,            0.025155,                   0,             0.62849,              0.3661,             0.39846,             0.13856,             0.11473,            0.055053,                   0,             0.00184,             0.00184,             0.00184
                 138,             0.11991,            0.025628,                   0,             0.63302,             0.36452,             0.39896,             0.13874,             0.11472,            0.055072,                   0,             0.00178,             0.00178,             0.00178
                 139,             0.11874,            0.024477,                   0,             0.63071,             0.36667,             0.39966,             0.13877,             0.11471,              0.0551,                   0,             0.00172,             0.00172,             0.00172
                 140,              0.1187,            0.025313,                   0,             0.63002,              0.3671,             0.39957,             0.13881,             0.11471,             0.05513,                   0,             0.00166,             0.00166,             0.00166
                 141,             0.11947,            0.025327,                   0,             0.62897,             0.36738,             0.39934,             0.13874,             0.11472,            0.055161,                   0,              0.0016,              0.0016,              0.0016
                 142,             0.11966,            0.025882,                   0,             0.62963,             0.36767,             0.39902,             0.13867,             0.11472,            0.055178,                   0,             0.00154,             0.00154,             0.00154
                 143,             0.11859,            0.025096,                   0,             0.63295,             0.36552,             0.39821,             0.13876,             0.11472,            0.055181,                   0,             0.00148,             0.00148,             0.00148
                 144,             0.11909,            0.025326,                   0,             0.63369,             0.36531,             0.39862,             0.13892,             0.11472,            0.055209,                   0,             0.00142,             0.00142,             0.00142
                 145,             0.11951,            0.025575,                   0,             0.63579,             0.36381,             0.39855,             0.13863,             0.11472,            0.055212,                   0,             0.00136,             0.00136,             0.00136
                 146,              0.1182,            0.024912,                   0,             0.63461,             0.36402,             0.39877,             0.13893,             0.11472,            0.055239,                   0,              0.0013,              0.0013,              0.0013
                 147,             0.11826,            0.024413,                   0,             0.63457,             0.36359,             0.39889,             0.13891,             0.11471,            0.055263,                   0,             0.00124,             0.00124,             0.00124
                 148,             0.11913,             0.02523,                   0,             0.63599,             0.36388,             0.39975,             0.13893,              0.1147,            0.055266,                   0,             0.00118,             0.00118,             0.00118
                 149,             0.11784,             0.02444,                   0,             0.63587,             0.36381,             0.40007,             0.13886,              0.1147,            0.055291,                   0,             0.00112,             0.00112,             0.00112
